index,title,partner,product_type,enrollment,coursera_subject,FL_category,duration,rating,level
1233,Коммуникации и продвижение бренда,E-Learning Development Fund,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1234,Creating a Portfolio,Indian School of Business,Course,17k,Business,business_and_management,1-4 Weeks,4.4,Beginner
1235,The Role of Global Capital Markets,The University of Melbourne,Course,20k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1236,Finance for Everyone: Decisions,McMaster University,Course,48k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1237,3D Printing Capstone,University of Illinois at Urbana-Champaign,Course,3.2k,Business,business_and_management,1-4 Weeks,4.3,Mixed
1238,How Entrepreneurs in Emerging Markets can master the Blockchain Technology,University of Cape Town,Course,3.6k,Business,business_and_management,1-4 Weeks,4.5,Beginner
1239,Agile Organization,University of Colorado System,Course,2.1k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1240,Digital business - Grow on digital world,École Polytechnique,Course,0,Business,business_and_management,1-4 Weeks,4.5,Mixed
1241,Investigación de mercados y comportamiento del consumidor,IE Business School,Course,17k,Business,business_and_management,1-4 Weeks,4.5,Beginner
1242,Medical Technology and Evaluation,University of Minnesota,Course,15k,Business,business_and_management,1-4 Weeks,4.5,Beginner
1243,Estrategia de precios,IE Business School,Course,12k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1244,Gestión del canal de distribución y retailing,IE Business School,Course,9k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1245,Introducción a la Contabilidad Financiera,University of Pennsylvania,Course,7.9k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1246,Posicionamiento: La base del éxito en la estrategia de marketing,IE Business School,Course,6.3k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1247,Culture-Driven Team Building Capstone,University of Pennsylvania,Course,0,Business,business_and_management,1-4 Weeks,4.7,Beginner
1248,Esports Management Capstone Project,"University of California, Irvine",Course,0,Business,business_and_management,1-4 Weeks,4.5,Beginner
1249,Scaling Product and Processes,IE Business School,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1250,L'impact investing : innover,ESSEC Business School,Course,2.5k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1251,Digital Business - Understand the digital world,Institut Mines-Télécom,Course,0,Business,business_and_management,1-4 Weeks,4.4,Mixed
1252,Engagement & Nurture Marketing Strategies,Northwestern University,Course,41k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1253,Process Improvement,University of Illinois at Urbana-Champaign,Course,36k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1254,Introduction to Social Media Analytics,Emory University,Course,19k,Business,business_and_management,1-4 Weeks,4.4,Mixed
1255,Forecasting Models for Marketing Decisions,Emory University,Course,14k,Business,business_and_management,1-4 Weeks,4.3,Intermediate
1256,Quantitative Foundations for International Business,University of London,Course,9k,Business,business_and_management,1-4 Weeks,4.1,Mixed
1257,Leadership Communication for Maximum Impact: Storytelling,Northwestern University,Course,51k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1258,International B2B (Business to Business) Marketing,Yonsei University,Course,17k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1259,Managing Uncertainty in Marketing Analytics,Emory University,Course,9.4k,Business,business_and_management,1-4 Weeks,4.4,Intermediate
1260,Leadership Through Design Innovation,Northwestern University,Course,17k,Business,business_and_management,1-4 Weeks,4.3,Mixed
1261,International Marketing Entry and Execution,Yonsei University,Course,8.2k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1262,Fundamentos del Emprendimiento: Pensamiento y Acción,"University of California, Irvine",Course,11k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1263,Compra programática de medios: Publicidad online en tiempo real,Universidad Austral,Course,8.2k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1264,Fundamentos para entrevistar con confianza,Salesforce,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1265,"Be a Leader, Develop a Leader",Case Western Reserve University,Course,4.6k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1266,Global Impact: Business Ethics,University of Illinois at Urbana-Champaign,Course,13k,Business,business_and_management,1-4 Weeks,4.7,Intermediate
1267,Biases and Portfolio Selection,Rice University,Course,14k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1268,Medir y optimizar campañas de marketing en redes sociales,Facebook,Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
1269,Gestión de redes sociales,Facebook,Course,0,Business,business_and_management,1-4 Weeks,5,Beginner
1270,La comunicación laboral en el siglo XXI,"University of California, Irvine",Course,12k,Business,business_and_management,1-4 Weeks,4.4,Mixed
1271,Finanzas para profesionales no financieros,"University of California, Irvine",Course,19k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1272,Redacción de documentos empresariales de gran impacto,"University of California, Irvine",Course,23k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1273,El arte de negociar,"University of California, Irvine",Course,18k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1274,Accounting and Finance for IT professionals,Indian School of Business,Course,19k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1275,Pricing Strategy in Practice,University of Virginia,Course,8.3k,Business,business_and_management,1-4 Weeks,4.7,Intermediate
1276,Leadership Through Social Influence,Northwestern University,Course,30k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1277,Be Your Best Creative Self,University of Colorado Boulder,Course,8.8k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1278,Gender Analytics Capstone Project,University of Toronto,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1279,Finance for Everyone: Markets,McMaster University,Course,30k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1280,Finance For Everyone: Value,McMaster University,Course,15k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1281,Digital Twins,University of Michigan,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1282,Supply Chain Finance Market and Fintech Ecosystem,New York Institute of Finance,Course,2.3k,Business,business_and_management,1-4 Weeks,4.5,Intermediate
1283,Business Analytics Executive Overview,University of Illinois at Urbana-Champaign,Course,13k,Business,business_and_management,1-4 Weeks,4.6,Intermediate
1284,Intro to International Marketing,Yonsei University,Course,22k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1285,Protecting Business Innovations via Trademark,The Hong Kong University of Science and Technology,Course,5k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1286,Effective Communication for Today’s Leader,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,3.9,Intermediate
1287,Protecting Business Innovations via Strategy,The Hong Kong University of Science and Technology,Course,3.8k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1288,Liderazgo y comportamiento organizacional,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,4.7,Intermediate
1289,Pensamiento crítico: toma de decisiones razonadas,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1290,Applied Analytics and Data for Decision Making,University at Buffalo,Course,0,Business,business_and_management,1-4 Weeks,4.3,Beginner
1291,Sales Training: Sales Team Management,HubSpot Academy,Course,4.6k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1292,Market and Competition in Pricing Strategy,University of Virginia,Course,8k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1293,Sales Training: Inbound Business Strategy,HubSpot Academy,Course,5.2k,Business,business_and_management,1-4 Weeks,4.9,Beginner
1294,Leadership,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1295,Capstone Course: Start Up Your Fintech Future,University of Cape Town,Course,0,Business,business_and_management,1-4 Weeks,4.5,Beginner
1296,Corporate Financial Decision-Making for Value Creation,The University of Melbourne,Course,16k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1297,财务会计概论（中文版）,University of Pennsylvania,Course,5.9k,Business,business_and_management,1-4 Weeks,4.9,Mixed
1298,Bases para el éxito en el desarrollo de ventas,Salesforce,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1299,Leadership Through Marketing,Northwestern University,Course,20k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1300,Global Impact: Cultural Psychology,University of Illinois at Urbana-Champaign,Course,8.7k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1301,"Grow Your Business with Goldman Sachs 10,000 Women",Goldman Sachs,Course,34k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1302,"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,29k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1303,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,21k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1304,"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,14k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1305,Structure: Building the Frame for Business Growth,Michigan State University,Course,9.5k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1306,"Disaster, Crisis, and Emergency Preparedness Communication",The State University of New York,Course,2.5k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1307,Introduction to Business Analytics with R,University of Illinois at Urbana-Champaign,Course,9.1k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1308,The Search for Great Ideas: Harnessing creativity to empower innovation.,Michigan State University,Course,14k,Business,business_and_management,1-4 Weeks,4.4,Mixed
1309,"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,13k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1310,Selling to Chinese Consumers,The Chinese University of Hong Kong,Course,8k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1311,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,12k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1312,"Fundamentals of Management, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,15k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1313,"Fundamentals of Operations, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,8.5k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1314,"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,8.7k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1315,China Strategy,The Chinese University of Hong Kong,Course,3.8k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1316,Estrategias de Redes Sociales,Universidad Austral,Course,49k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1317,Foundations of Diversity and Inclusion at Work TeachOut,University of Virginia,Course,12k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1318,Predictive Analytics and Data Mining,University of Illinois at Urbana-Champaign,Course,9.5k,Business,business_and_management,1-4 Weeks,4.4,Intermediate
1319,Technology Leadership and Entrepreneurship,Peter the Great St. Petersburg Polytechnic University,Course,2.7k,Business,business_and_management,1-4 Weeks,4.9,Beginner
1320,"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Goldman Sachs,Course,8.2k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1321,Fase final de Marketing en redes sociales de Facebook,Facebook,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1322,اعمل بذكاء أكبر لا بجهد أكثر: إدارة الوقت الشخصي والمهني,"University of California, Irvine",Course,0,Business,business_and_management,1-4 Weeks,4.8,Mixed
1323,Fundamentals of Finance,"University of California, Irvine",Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
1324,Channel Management and Retailing,IE Business School,Course,28k,Business,business_and_management,1-4 Weeks,4.5,Beginner
1325,مهارات العمل الجماعي: التواصل الفعّال في مجموعات,University of Colorado Boulder,Course,0,Business,business_and_management,1-4 Weeks,5,Beginner
1326,التسويق في عالم رقمي,University of Illinois at Urbana-Champaign,Course,4.7k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1327,Analíticas y Métricas de Marketing,Tecnológico de Monterrey,Course,4k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1328,Data-Driven Process Improvement,University at Buffalo,Course,3.1k,Business,business_and_management,1-4 Weeks,4.5,Beginner
1329,"Comunicaciones integradas de marketing: Publicidad, Relaciones Públicas, Marketing Digital y más",IE Business School,Course,20k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1330,التحضير لإدارة الموارد البشرية,University of Minnesota,Course,5.3k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1331,Estrategia Empresarial,Universidad Austral,Course,15k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1332,Alternative Approaches to Valuation and Investment,The University of Melbourne,Course,14k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1333,Las estrategias y habilidades para las negociaciones,Universidad Nacional Autónoma de México,Course,21k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1334,El plan de marketing,IE Business School,Course,8.6k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1335,Finance for Everyone: Debt,McMaster University,Course,14k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1336,Cómo resolver problemas y tomar decisiones con eficacia,"University of California, Irvine",Course,14k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1337,"Expanda Seus Negócios com o 10,000 Women da Goldman Sachs",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.9,Mixed
1338,Publicidad Digital con Google AdWords,Universidad Austral,Course,22k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1339,Gestión de Proyectos,Tecnológico de Monterrey,Course,1.5k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1340,Sales Strategy,Fundação Instituto de Administração,Course,7k,Business,business_and_management,1-4 Weeks,4.4,Intermediate
1341,Структура презентации технологических и инвестиционных проектов,Moscow Institute of Physics and Technology,Course,2.2k,Business,business_and_management,1-4 Weeks,4.3,Mixed
1342,IA para todos,DeepLearning.AI,Course,22k,Business,business_and_management,1-4 Weeks,4.9,Beginner
1343,International Hospitality & Healthcare Services Marketing,Yonsei University,Course,11k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1344,Бизнес на свои,National Research Tomsk State University,Course,6.5k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1345,International Entertainment and Sports Marketing,Yonsei University,Course,11k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1346,Gestión de proyectos: las bases del éxito,"University of California, Irvine",Course,27k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1347,The Power of Markets I: The Basics of Supply and Demand and Consumer Behavior,University of Rochester,Course,13k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1348,Financial Management for Product Leaders,"University of Maryland, College Park",Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
1349,L'entrepreneuriat social: faire son business plan,ESSEC Business School,Course,19k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1350,¿Cómo financiar mi empresa?,Universidad de los Andes,Course,17k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1351,التفاوض الدولي وبين الثقافات,ESSEC Business School,Course,0,Business,business_and_management,1-4 Weeks,5,Intermediate
1352,Beneficios y características de las redes sociales más significativas,Tecnológico de Monterrey,Course,19k,Business,business_and_management,1-4 Weeks,4.4,Mixed
1353,"Forecasting, Budgeting, Territories, Evaluation and Legal/Ethical Issues",West Virginia University,Course,4k,Business,business_and_management,1-4 Weeks,4.4,Beginner
1354,إستراتيجية الأعمال المتقدمة,University of Virginia,Course,0,Business,business_and_management,1-4 Weeks,4.9,Beginner
1355,التأثير على الأشخاص,University of Michigan,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1356,Raison d’être et Entreprise à Mission,ESSEC Business School,Course,4k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1357,"Fundamentos de Finanças da Empresa com o 10,000 Women da Goldman Sachs",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.8,Mixed
1358,Proyecto Final - Programa Especializado en Marketing Digital,Universidad Austral,Course,5.3k,Business,business_and_management,1-4 Weeks,4.9,Beginner
1359,Fundamentals of Data Warehousing,LearnQuest,Course,0,Business,business_and_management,1-4 Weeks,4.2,Beginner
1360,Leadership Development,Universidad de Palermo,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1361,"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",Goldman Sachs,Course,3.7k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1362,Models & Frameworks to Support Sales Planning,Fundação Instituto de Administração,Course,4.2k,Business,business_and_management,1-4 Weeks,4.4,Intermediate
1363,Лидерство и эмоциональный интеллект,Indian School of Business,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1364,Effective Professional Communication Capstone,National Research Tomsk State University,Course,0,Business,business_and_management,1-4 Weeks,5,Beginner
1365,Innovation Career Lessons from a Master,Technion - Israel Institute of Technology,Course,14k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1366,Bankruptcy Law,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),Course,0,Business,business_and_management,1-4 Weeks,4.9,Mixed
1367,Como influenciar pessoas,University of Michigan,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1368,Negotiation Skills and Effective Communication,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1369,Modelización Cuantitativa para Finanzas Corporativas,Universidad Austral,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1370,"Итоговый проект специализации ""Основы Digital Маркетинга""",HSE University,Course,2.9k,Business,business_and_management,1-4 Weeks,4.3,Intermediate
1371,Estrategias y estilos de negociación      ,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,4.6,Intermediate
1372,Building the Business Model for Corporate Entrepreneurs,"University of Maryland, College Park",Course,7.2k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1373,Native Advertising,University of Colorado Boulder,Course,5.8k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1374,Management,Infosec,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1375,Diseñando una estrategia de negocios en América Latina,Tecnológico de Monterrey,Course,3.4k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1376,Data Modeling and Regression Analysis in Business,University of Illinois at Urbana-Champaign,Course,6.6k,Business,business_and_management,1-4 Weeks,4.3,Intermediate
1377,"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",Goldman Sachs,Course,1.6k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1378,إدارة وسائل التواصل الاجتماعي,Facebook,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1379,"Compensation, Expenses and Quotas",West Virginia University,Course,3k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1380,Intellectual Property for Entrepreneurs,"University of Maryland, College Park",Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1381,Survey analysis to Gain Marketing Insights,Emory University,Course,10k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1382,Стратегии коммуникации в виртуальную эпоху,University of Toronto,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1383,El liderazgo del director de proyectos,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1384,Sales Operations: Final Project,West Virginia University,Course,2.3k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1385,Innovation for Impact (i4i) The Carlson-Polizzotto Method of Value Creation,Northeastern University,Course,1.8k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1386,Stratégies de communication à l’ère du virtuel,University of Toronto,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1387,Веб-аналитика. Продвинутый уровень,Saint Petersburg State University,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1388,Impact from digital transformation: A Nano course,EIT Digital,Course,0,Business,business_and_management,1-4 Weeks,4.5,Beginner
1389,Управление стоимостью компании,HSE University,Course,3.9k,Business,business_and_management,1-4 Weeks,4.6,Intermediate
1390,إلهام الأفراد وتحفيزهم,University of Michigan,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1391,Introducción al Marketing,University of Pennsylvania,Course,11k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1392,Fundamentos del marketing mix,IE Business School,Course,4.6k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1393,Research kitchen,Ludwig-Maximilians-Universität München (LMU),Course,4k,Business,business_and_management,1-4 Weeks,4.5,Beginner
1394,Blockchain for the decision maker,EIT Digital,Course,2.6k,Business,business_and_management,1-4 Weeks,4.1,Beginner
1395,Los portafolios y las inversiones en el mercado de capitales,Universidad de los Andes,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1396,Business Implications of AI: A Nano-course,EIT Digital,Course,1.8k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1397,"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.6,Mixed
1398,Gestión de productos digitales: Fundamentos modernos,University of Virginia,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1399,Mercadotecnia en un mundo digital,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
1400,Основы бизнес-стратегии,University of Virginia,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1401,运营管理概论（中文版）,University of Pennsylvania,Course,3.4k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1402,"Fundamentos de Liderança com o 10,000 Women da Goldman Sachs",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.9,Mixed
1403,إدارة المواهب,University of Michigan,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1404,Introducción a la Gestión de Operaciones,University of Pennsylvania,Course,7.5k,Business,business_and_management,1-4 Weeks,4.2,Mixed
1405,Essentials of Corporate Finance Capstone,The University of Melbourne,Course,3.2k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1406,Employment Law,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),Course,0,Business,business_and_management,1-4 Weeks,4.8,Mixed
1407,Explore Management Concepts through Metaphor and Music,University of London,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1408,企业金融概论（中文版）,University of Pennsylvania,Course,3.8k,Business,business_and_management,1-4 Weeks,4.5,Mixed
1409,Power Onboarding,Northwestern University,Course,4.4k,Business,business_and_management,1-4 Weeks,4,Beginner
1410,Fundamentals of Organization,Politecnico di Milano,Course,2.8k,Business,business_and_management,1-4 Weeks,4.8,Beginner
1411,"Fundamentos de la Administración con Goldman Sachs 10,000 Women",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,5,Mixed
1412,Sales & Marketing Alignment,Fundação Instituto de Administração,Course,4.4k,Business,business_and_management,1-4 Weeks,4.6,Intermediate
1413,Teoria Geral da Administração para Executivos,Fundação Instituto de Administração,Course,3.3k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1414,"Працюйте розумніше, а не більше: управління часом для особистої та професійної продуктивності","University of California, Irvine",Course,2.1k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1415,"Fundamentos de la Negociación con Goldman Sachs 10,000 Women",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.7,Mixed
1416,Master Class for Corporate Entrepreneurs,"University of Maryland, College Park",Course,3.4k,Business,business_and_management,1-4 Weeks,4.4,Beginner
1417,Bases of the law of obligations (The Russian Federation) Part 1,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),Course,0,Business,business_and_management,1-4 Weeks,4.7,Beginner
1418,"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1419,لوسائط الرقمية واستراتيجيات التسويق,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1420,"Fundamentos de la Planificación Financiera con Goldman Sachs 10,000 Women",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,3.7,Mixed
1421,Современные практики бирюзового управления,E-Learning Development Fund,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1422,"Fundamentos de los Aspectos Financieros del Negocio con Goldman Sachs 10,000 Women",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.8,Mixed
1423,Мировая экономика. Ведущие страны - участники,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
1424,Connect with Diverse Audiences during a Public Health Crisis,The State University of New York,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1425,How to make your professional career,Peter the Great St. Petersburg Polytechnic University,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1426,Digital business - Act on the digital world,École Polytechnique,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1427,Introducción a la gestión ágil de proyectos,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1428,"Technology Commercialization, Part 1: Setting up your Idea Filtering System",University of Rochester,Course,3.6k,Business,business_and_management,1-4 Weeks,4.3,Mixed
1429,Financing and Profiting from Innovation for Corporate Entrepreneurs,"University of Maryland, College Park",Course,3.6k,Business,business_and_management,1-4 Weeks,4.7,Beginner
1430,Digital Business - Capstone project,École Polytechnique,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1431,مبادئ الإعلام والتسويق الرقمي,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1432,Liderazgo orientado al florecimiento humano,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1433,Gerenciamento de mídias sociais,Facebook,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1434,Los obstáculos y la conducción en las negociaciones,Universidad Nacional Autónoma de México,Course,8.5k,Business,business_and_management,1-4 Weeks,4.8,Mixed
1435,Introducción a las Finanzas Corporativas,University of Pennsylvania,Course,5.8k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1436,The Power of Markets II: Market Structure and Firm Behavior,University of Rochester,Course,5.2k,Business,business_and_management,1-4 Weeks,4.6,Mixed
1437,Mi nueva empresa: los siguientes pasos,Universidad de los Andes,Course,4.7k,Business,business_and_management,1-4 Weeks,4.9,Beginner
1438,"Fundamentos de Planejamento Financeiro com o 10,000 Women da Goldman Sachs",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.7,Mixed
1439,Doing Business in Latin America,Universidad de los Andes,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1440,Negotiation Strategies and Styles,Tecnológico de Monterrey,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
1441,KI für alle,DeepLearning.AI,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1442,Applying Investment Decision Rules for Startups,Yonsei University,Course,5k,Business,business_and_management,1-4 Weeks,4.6,Beginner
1443,Strategic Sales Management Final Project,Fundação Instituto de Administração,Course,2.4k,Business,business_and_management,1-4 Weeks,4.5,Intermediate
1444,"Contexto de Negocios en LATAM: Factores Políticos, Sociales y Económicos",Pontificia Universidad Católica de Chile,Course,1.8k,Business,business_and_management,1-4 Weeks,4.7,Mixed
1445,ما هي وسائل التواصل الاجتماعي؟,Northwestern University,Course,0,Business,business_and_management,1-4 Weeks,0,Mixed
1446,"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",Goldman Sachs,Course,0,Business,business_and_management,1-4 Weeks,4.9,Mixed
1447,Russian company law. Capital & Financing of legal entities,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
1448,IA para todos,DeepLearning.AI,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
1449,Marketing Channel Governance,Emory University,Course,0,Business,business_and_management,1-4 Weeks,0,Intermediate
