,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
94,Business Transformation with Google Cloud,Google Cloud,Course,32k,Business,business_and_management,1-3 Months,4.7,Beginner
95,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,Course,28k,Business,business_and_management,1-3 Months,4.8,Intermediate
96,Esports,"University of California, Irvine",Specialization,6.5k,Business,business_and_management,1-3 Months,4.6,Beginner
97,Supply Chain Management: A Learning Perspective,Korea Advanced Institute of Science and Technology(KAIST),Course,52k,Business,business_and_management,1-3 Months,4.7,Mixed
98,Intercultural Management,ESCP Business School,Course,15k,Business,business_and_management,1-3 Months,4.6,Beginner
99,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,Course,150k,Business,business_and_management,1-3 Months,4.8,Mixed
100,E-Marketing,"University of California, Irvine",Specialization,4.5k,Business,business_and_management,1-3 Months,4.7,Beginner
101,Engineering Project Management: Initiating and Planning,Rice University,Course,75k,Business,business_and_management,1-3 Months,4.8,Beginner
102,Storytelling and influencing: Communicate with impact,Macquarie University,Course,40k,Business,business_and_management,1-3 Months,4.8,Mixed
103,"Federal Taxation I: Individuals, Employees, and Sole Proprietors",University of Illinois at Urbana-Champaign,Course,19k,Business,business_and_management,1-3 Months,4.9,Intermediate
104,Scaling Operations: Linking Strategy and Execution,Northwestern University,Course,16k,Business,business_and_management,1-3 Months,4.5,Mixed
105,Fundamentos de Finanzas Empresariales,Universidad de los Andes,Course,160k,Business,business_and_management,1-3 Months,4.9,Beginner
106,Legal Tech and the Digital Transformation of Law,Universidad Austral,Course,3.3k,Business,business_and_management,1-3 Months,5,Beginner
107,Project Initiation and Planning,University of Illinois at Urbana-Champaign,Course,3k,Business,business_and_management,1-3 Months,5,Mixed
108,Sustainable Digital Innovation,EIT Digital,Course,1.7k,Business,business_and_management,1-3 Months,4.6,Intermediate
109,Brand Identity and Strategy,IE Business School,Course,38k,Business,business_and_management,1-3 Months,4.7,Intermediate
110,Mercados financieros,Yale University,Course,12k,Business,business_and_management,1-3 Months,4.9,Beginner
111,Leadership and Critical Thinking,Tecnológico de Monterrey,Specialization,2.1k,Business,business_and_management,1-3 Months,4.2,Advanced
112,Excel Skills for Business: Advanced,Macquarie University,Course,130k,Business,business_and_management,1-3 Months,4.7,Intermediate
113,Six Sigma and the Organization (Advanced),University System of Georgia,Course,49k,Business,business_and_management,1-3 Months,4.7,Intermediate
114,Introduction to Data Analytics,Facebook,Course,0,Business,business_and_management,1-3 Months,4.2,Beginner
115,Effectuation : l'entrepreneuriat pour tous,emlyon business school,Course,14k,Business,business_and_management,1-3 Months,4.7,Beginner
116,Personal & Family Financial Planning,University of Florida,Course,140k,Business,business_and_management,1-3 Months,4.6,Mixed
117,Creating and Developing a Tech Startup,École Polytechnique,Course,20k,Business,business_and_management,1-3 Months,4.1,Mixed
118,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,Course,100k,Business,business_and_management,1-3 Months,4.8,Beginner
119,Financial Investment & Risk Management,Peter the Great St. Petersburg Polytechnic University,Course,7.1k,Business,business_and_management,1-3 Months,4.5,Intermediate
120,Claves para Gestionar Personas,IESE Business School,Course,88k,Business,business_and_management,1-3 Months,4.8,Mixed
121,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,Course,59k,Business,business_and_management,1-3 Months,4.7,Mixed
122,Negociações de sucesso: estratégias e habilidades essenciais (em Português),University of Michigan,Course,68k,Business,business_and_management,1-3 Months,4.9,Mixed
123,Les Fondamentaux de la Négociation,ESSEC Business School,Course,19k,Business,business_and_management,1-3 Months,4.8,Beginner
124,Developing a Google SRE Culture,Google Cloud,Course,13k,Business,business_and_management,1-3 Months,4.7,Beginner
125,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,Course,140k,Business,business_and_management,1-3 Months,4.8,Mixed
126,Planificación y gestión estratégica para Pymes,Pontificia Universidad Católica de Chile,Course,6.9k,Business,business_and_management,1-3 Months,4.9,Beginner
127,"Coding for Designers, Managers, and Entrepreneurs",University of Virginia,Specialization,8.9k,Business,business_and_management,1-3 Months,4.1,Beginner
128,Finance for Non-Financial Managers,Emory University,Course,21k,Business,business_and_management,1-3 Months,4.4,Intermediate
129,Data Visualization in Excel,Macquarie University,Course,13k,Business,business_and_management,1-3 Months,4.9,Intermediate
130,Blockchain and Business: Applications and Implications,INSEAD,Course,13k,Business,business_and_management,1-3 Months,4.7,Mixed
131,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),University System of Georgia,Course,50k,Business,business_and_management,1-3 Months,4.6,Beginner
132,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,Course,25k,Business,business_and_management,1-3 Months,4.9,Beginner
133,L'avenir de la décision : connaître et agir en complexité,ESSEC Business School,Course,39k,Business,business_and_management,1-3 Months,4.7,Mixed
134,Sales Training for High Performing Teams,HubSpot Academy,Specialization,34k,Business,business_and_management,1-3 Months,4.7,Beginner
135,Управление личными финансами,HSE University,Course,46k,Business,business_and_management,1-3 Months,4.8,Mixed
136,First Steps in Making the Business Case for Sustainability,University of Colorado System,Course,7.6k,Business,business_and_management,1-3 Months,4.7,Beginner
137,Системное мышление,Moscow Institute of Physics and Technology,Course,22k,Business,business_and_management,1-3 Months,4.6,Beginner
138,Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,Course,49k,Business,business_and_management,1-3 Months,4.8,Beginner
139,Wharton Business Foundations Capstone,University of Pennsylvania,Course,4.7k,Business,business_and_management,1-3 Months,4.6,Mixed
140,Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,Course,100k,Business,business_and_management,1-3 Months,4.7,Beginner
141,Marchés financiers,Yale University,Course,0,Business,business_and_management,1-3 Months,0,Beginner
142,Women in Leadership: Inspiring Positive Change,Case Western Reserve University,Course,27k,Business,business_and_management,1-3 Months,4.7,Mixed
143,Formal Financial Accounting,University of Illinois at Urbana-Champaign,Course,9.4k,Business,business_and_management,1-3 Months,4.7,Intermediate
144,Accounting Analysis I: The Role of Accounting as an Information System,University of Illinois at Urbana-Champaign,Course,26k,Business,business_and_management,1-3 Months,4.8,Intermediate
145,Innovative Finance: Hacking finance to change the world,University of Cape Town,Course,9.8k,Business,business_and_management,1-3 Months,4.7,Beginner
146,Herramientas de la Economía Circular,Universidad de los Andes,Course,2.6k,Business,business_and_management,1-3 Months,4.7,Beginner
147,Основы риск-менеджмента в Банке,SberUniversity,Course,12k,Business,business_and_management,1-3 Months,4.7,Beginner
148,Multistate Taxation,University of Illinois at Urbana-Champaign,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
149,Startup Valuation Methods,Duke University,Course,25k,Business,business_and_management,1-3 Months,4.4,Intermediate
150,Budgeting and Scheduling Projects,"University of California, Irvine",Course,140k,Business,business_and_management,1-3 Months,4.7,Mixed
151,Market Risk Management: Frameworks & Strategies,New York Institute of Finance,Course,0,Business,business_and_management,1-3 Months,4.8,Beginner
152,Influencer Marketing Strategy,Rutgers the State University of New Jersey,Course,30k,Business,business_and_management,1-3 Months,4.4,Intermediate
153,The Neuromarketing Toolbox,Copenhagen Business School,Course,7.6k,Business,business_and_management,1-3 Months,4.8,Beginner
