,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
5857,Create Your First NoSQL Database with MongoDB and Compass,Coursera Project Network,Guided Project,2.6k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5858,Terraform Basics: Automate Provisioning of AWS EC2 Instances,Coursera Project Network,Guided Project,1.7k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Beginner
5859,Azure: create a REST API using NodeJS Serverless Functions,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5860,Working with MySQL DB instance using AWS RDS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5861,Diseñando aplicaciones de IoT con Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5862,Configure Standard Access Lists on Cisco Routers,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5863,Automize Monthly Report Creation with Power Automate,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5864,Microsoft Azure Relational Databases,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.9,Beginner
5865,Create Relational Database Tables Using SQLiteStudio,Coursera Project Network,Guided Project,2.9k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Beginner
5866,Working with AWS S3 Buckets using Python & boto3,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,5,Beginner
5867,Advanced SQL Retrieval Queries in SQLiteStudio,Coursera Project Network,Guided Project,3.5k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Intermediate
5868,Configure and Verify OSPF Operation,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5869,Deploy a Wordpress Website in AWS EC2,Coursera Project Network,Guided Project,1.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Intermediate
5870,MySQL with Information Technology,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5871,Amazon Translate: Translate documents with batch translation,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5872,Linux: Archiving and Compression for DevOps (tar/gzip),Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,5,Intermediate
5873,Creating Database Tables with SQL,Coursera Project Network,Guided Project,6.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5874,Create User Directory and Files with Linux Commands,Coursera Project Network,Guided Project,1.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5875,Advanced Ansible for Devops: Create the MEAN Stack,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Advanced
5876,Jenkins Pipeline: Declarative and IaC approaches for DevOps,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5877,Simple Retrieval Queries in MySQL Workbench,Coursera Project Network,Guided Project,2k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5878,"Create PDF Balance Report using HTML, Excel & Power Automate",Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5879,Deploy an App in AWS Elastic Kubernetes Cluster using EKSCTL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5880,Introduction to Docker: Build Your Own Portfolio Site,Coursera Project Network,Guided Project,6.9k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5881,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5882,Write basic ansible playbooks,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5883,Manipulating Data with SQL,Coursera Project Network,Guided Project,6.7k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5884,AWS CodePipeline Beginner's Guide,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
5885,Linux Automation using Bash Scripting,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.3,Intermediate
5886,Orchestrating Data Movement with Azure Data Factory,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5887,Creating And Controlling Git Repository Using AWS CodeCommit,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5888,Create your first Amazon Aurora Database in AWS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5889,Introducción a las bases de datos relacionales y SQL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Beginner
5890,Create Docker Container with Flask Seaborn Regression Plot App,Coursera Project Network,Guided Project,2.3k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Advanced
5891,Introducción a Scala en Big data con Databricks,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5892,Aprendiendo Infraestructura como código con Terraform,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5893,How to configure VLAN's using cisco packet tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5894,Create a Project Tracker with Airtable,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5895,Build a Firebase Android Application (Part II),Coursera Project Network,Guided Project,1.7k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.3,Advanced
5896,"Azure Synapse Analytics: desde el DWH, hasta PowerBI y Spark",Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5897,Configure and verify PPP and Frame Relay on Cisco Routers,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5898,Aggregate Data in SQL using MySQL Workbench,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5899,Configure and Verify NAT on Cisco routers,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5900,Sort and Filter Data in SQL using MySQL Workbench,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5901,Configure and Verify EIGRP,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5902,Creating an AWS EC2 Autoscaling Group using Load Balancer,Coursera Project Network,Guided Project,2.2k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Intermediate
5903,Build a Database from a Relational Model,Coursera Project Network,Guided Project,1.6k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.8,Intermediate
5904,Validate Data in SQL using MySQL Workbench,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5905,Build a Bot in Python for Basic File and Interface Chores,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5906,Create Fault Tolerant MongoDB Cluster,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,5,Intermediate
5907,Deploy a Web Application in Azure Kubernetes Service,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5908,Use Power Automate & SharePoint to Automate Invoice Sending,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5909,Process Data with Microsoft Azure Synapse Link for Cosmo DB,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5910,Create a Database with the Modeling Tool in MySQL Workbench,Coursera Project Network,Guided Project,1.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5911,Containerization Using Docker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Intermediate
5912,Query Client Data with LibreOffice Base,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5913,Python Scripting for DevOps,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5914,Entendiendo DeltaLake,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5915,Ansible for DevOps: Write your first Playbook,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Intermediate
5916,Deploying Apps on a Kubernetes Cluster using Minikube,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5917,Setting up AWS Application Load Balancer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5918,Database Design and Diagramming in Dia,Coursera Project Network,Guided Project,5.1k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5919,How to Secure your Network Device using Cisco Packet Tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5920,AWS S3 Basics,Coursera Project Network,Guided Project,14k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
5921,Building Smart Business Assistants with IBM Watson,Coursera Project Network,Guided Project,7.1k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5922,Azure: Create a Virtual Machine and Deploy a Web Server,Coursera Project Network,Guided Project,1.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5923,Create a Virtual Private Cloud (VPC) Using AWS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.3,Beginner
5924,Database Operations in MariaDB Using Python From Infosys,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Advanced
5925,Python Database Connection with MariaDB From Infosys,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Intermediate
5926,Data Encryption using AWS KMS From UST,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.9,Beginner
5927,Integrated development environments in Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Intermediate
5928,AWS Cloudfront: Serve content from multiple S3 buckets,Coursera Project Network,Guided Project,2.1k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Beginner
5929,Build a Business Architecture using AWS Organization,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5930,Launch an auto-scaling AWS EC2 virtual machine,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.9,Intermediate
5931,Jenkins: Bootstrap and configure real team environment,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5932,CRUD Operations using MongoDB NoSQL,Coursera Project Network,Guided Project,1.6k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Beginner
5933,Deploying Apps on Kubernetes with Zero Downtime,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,3.5,Beginner
5934,Create your first custom VPC and its components in AWS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,5,Beginner
5935,Ansible Basics & Installing WordPress on LAMP with Playbooks,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5936,Access an EC2 instance shell from the AWS console,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
5937,Set up AWS Billing Alerts using AWS Budgets,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.8,Intermediate
5938,Working with Azure Data Storage,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5939,Logging with Spring Boot AOP,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,3.9,Intermediate
5940,Create a Virtual Machine Using AWS EC2,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5941,Jenkins in Docker: Slack Notifications & Build Monitor View,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5942,Creating Routing Policies to Handle Traffic with AWS Route53,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5943,Build a computer vision app with Azure Cognitive Services,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Intermediate
5944,Retrieve Data with Multiple-Table SQL Queries,Coursera Project Network,Guided Project,3.1k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Intermediate
5945,Use Process Advisor to Analyze and Automate Manual Process,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5946,MySQL تكنولوجيا المعلومات مع,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5947,AWS: Publish a NodeJS Website from Scratch,Coursera Project Network,Guided Project,4.4k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
5948,Complex Retrieval Queries in MySQL Workbench,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.3,Intermediate
5949,Linux: File Management for Devops,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5950,Accessing your AWS EC2 servers,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5951,Introducción a Git y GitLab,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5952,How To Build a Network Topology Using GNS3,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Beginner
5953,Beginner's guide to AWS Identity and Access Management (IAM),Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
5954,Automize Business Communication using Power Automate,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5955,Convert Word to PDF with SharePoint & Power Automate,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5956,Deploy a Website Container Image in AWS ECS and AWS Fargate,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5957,Introduction to Regular Expressions in SQL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5958,Kubernetes: Create Multi-App Cluster with Ingress & Logging,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5959,Practical Vim Editor Commands On Linux,Coursera Project Network,Guided Project,3.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
5960,Create AWS EC2 Virtual Machine Using AWS console,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.4,Beginner
5961,Use Bash Scripting on Linux to Execute Common commands,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.6,Intermediate
5962,بناء شبكة كمبيوتر افتراضية من الصفر,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5963,Routing Protocols Fundamentals using Cisco Packet Tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Intermediate
5964,Working with Amazon DynamoDB using Python & Boto3,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5965,Kubernetes in AWS: Create Cluster in EKS in your own VPC,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5966,Develop Clustering Models with Azure ML Designer,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5967,Create audio transcripts with Amazon Transcribe,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5968,Introduction Pratique à YAML,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5969,كيف تحافظ علي امن اجهزه الشبكات باستخدام Cisco packet Tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5970,IAM Role Revoking and Permissions Boundary,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5971,Create a Virtual Machine Using Microsoft Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4,Beginner
5972,RESTful Microservices Performance Monitoring with Actuators,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5973,"Managing processes, Services and Networking in Linux",Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,3,Beginner
5974,معالجة الملفات والمجلدات بإستخدام Linux لمهندسي الكمبيوتر,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5975,Building a Company’s database using MySQL and SQL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.3,Beginner
5976,Build a Small Simulated Network With Cisco Packet Tracker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Beginner
5977,Linux: Use Vim to Edit an HTML Document,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.3,Intermediate
5978,Files and directories in the Linux filesystem,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5979,Introduction to Budgets in Microsoft Azure Cost Management,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5980,Clean Data in SQL using MySQL Workbench,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5981,إداره مستخدمي Linux وصلاحيات الملف (Access Control List (ACL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5982,Advanced Features with Relational Database Tables Using SQLiteStudio,Coursera Project Network,Guided Project,3k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Intermediate
5983,Linux: I/O Redirection for DevOps,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,5,Intermediate
5984,File and Directory Manipulation with Linux for IT Engineers,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,3.9,Beginner
5985,Bases de Datos SQL en Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Intermediate
5986,Working with Relational Data Stores in Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5987,Calculate Data in SQL using MySQL Workbench,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5988,Mejores prácticas para el procesamiento de datos en Big Data,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.9,Intermediate
5989,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.8,Beginner
5990,Introduction to virtual networks in Microsoft Azure,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5991,Text Editing in Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5992,High Throughput Databases with Microsoft Azure Cosmos DB,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5993,مقدمة إلي Bash shell & Linux processes & Job scheduling,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5994,Deploy a Complete Wordpress Video Blog in Microsoft Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5995,Relational Modeling in Dia,Coursera Project Network,Guided Project,1.8k,Information Technology,it_and_computer_science,Less Than 2 Hours,4.7,Beginner
5996,Linux: Processes & System Resource Management for DevOps,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
5997,L104 Advanced Commands in Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5998,Introdução a Mapas de Relação com Kumu,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
5999,Securing Azure SQL Database,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6000,Monitoring and Troubleshooting Data Storage and Processing,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6001,Deploy a complete Wordpress Website in Microsoft Azure Cloud,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6002,Two Major Models of running containers in AWS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6003,Extract Text Data with Bash and Regex,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6004,Linux: Use NANO editor to edit a Bash Script,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6005,Azure: deploy a Web Server using the Container Registry,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6006,Introduction to AWS Elastic File System,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6007,Build automated speech systems with Azure Cognitive Services,Microsoft,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6008,Introducción a contenedores y Docker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6009,Introduction au cloud privé Nextcloud,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6010,Armando un catálogo de datos con Azure Purview,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6011,Créer un Service Mesh avec ISTIO,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6012,File Editor Time Travel with Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6013,مقدمة نحو فهم عنوان بروتروكول الانترنت وتقسيم الشبكات,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6014,Introducción a bases de datos NoSQL con MongoDB,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6015,Trabajando de inicio a fin con GIT,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6016,Building Globally Distributed Databases with Cosmos DB,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6017,Linux: User Ownership and Permissions for DevOps,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6018,Implement Real Time Analytics using Azure Stream Analytics,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6019,"Crea un app de Machine Learning con Spark, Synapse Analytics",Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Advanced
6020,Manage container images using AWS,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6021,Analyze Sales Data with LibreOffice Base Queries,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6022,La Création De Tables Avec SQL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6023,Initiation à Amazon Elastic File System (EFS),Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6024,Déployer et configurer un serveur Gitlab privé dans Docker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6025,Surveiller un hôte Linux avec Prometheus-Grafana dans Docker,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6026,Comprendre la Syntaxe de Base de SQL.,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6027,Crear y gestionar archivos con AWS S3,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6028,Creando máquinas virtuales en Azure,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,5,Intermediate
6029,Managing Linux users & Access Control List file permissions,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,4.5,Beginner
6030,Getting started with AWS Elastic Container Registry (ECR),Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6031,How to Use Microsoft Azure ML Studio for Kaggle Competitions,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6032,Generate a Report with LibreOffice Base,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6033,Program Automation of devices using Packet Tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6034,Introducción a computación serverless con AWS Lambda,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6035,Manejando bases de datos con AWS Aurora,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6036,L103 Package Installation in Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Beginner
6037,Configure Dynamic Routing with RIP in Packet Tracer,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6038,Join Tables in an SQL Query in LibreOffice Base,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6039,Query a Database Table with SQL in LibreOffice Base,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6040,Set up your dev environment for LAMP web developers on Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6041,Set up your dev environment for MERN developers on Linux,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
6042,Combine Multiple Pieces of Data in SQL,Coursera Project Network,Guided Project,0,Information Technology,it_and_computer_science,Less Than 2 Hours,0,Intermediate
